UID,TERM,PELL,GRADUATED
593309,201454,2740.0,Yes
593336,201018,2550.0,No
593925,201018,2082.0,Yes
594048,201018,2000.0,Yes
594200,201018,2775.0,No
594431,201018,2775.0,No
594497,201124,1000.0,Yes
594622,201124,2750.0,No
595021,201018,2775.0,Yes
595650,201018,2775.0,Yes
595845,201564,863.0,No
596055,201018,900.0,Yes
596378,201018,2775.0,Yes
596612,201124,450.0,Yes
597284,201018,400.0,Yes
597655,201018,2050.0,Yes
597857,201124,2775.0,Yes
598133,201234,2775.0,Yes
598320,201018,2500.0,Yes
598387,201018,2250.0,Yes
598390,201018,1800.0,Yes
598547,201018,2775.0,No
254884,201348,500.0,Yes
301391,201124,2775.0,No
599063,201018,2775.0,No
599087,201018,400.0,No
599124,201564,2163.0,Yes
533328,201018,1800.0,Yes
599267,201018,2775.0,Yes
599288,201124,2775.0,Yes
599563,201018,1450.0,Yes
599768,201018,600.0,Yes
600082,201018,588.0,No
600129,201018,1800.0,Yes
600341,201018,2750.0,Yes
600343,201124,2775.0,Yes
600656,201124,2100.0,Yes
601098,201018,2600.0,No
601135,201018,400.0,Yes
601209,201124,1250.0,Yes
601482,201018,1200.0,Yes
601795,201018,2775.0,Yes
602067,201018,950.0,Yes
602860,201018,2100.0,Yes
603165,201018,588.0,Yes
603382,201018,650.0,Yes
603412,201018,2775.0,Yes
603471,201018,0.0,Yes
603574,201344,2398.0,Yes
604190,201018,1400.0,Yes
604216,201018,2775.0,No
604309,201018,2750.0,Yes
604397,201018,2775.0,Yes
604428,201018,650.0,Yes
604560,201018,2150.0,Yes
604597,201124,2775.0,Yes
604651,201018,2750.0,Yes
605135,201018,1550.0,Yes
606045,201018,2775.0,Yes
606300,201018,2775.0,Yes
606312,201124,1650.0,Yes
606315,201018,2000.0,Yes
606426,201018,2450.0,No
606435,201018,2775.0,Yes
606448,201344,1548.0,Yes
606591,201018,2775.0,Yes
606666,201018,1500.0,No
608223,201018,2775.0,Yes
609133,201018,1450.0,Yes
609690,201018,1200.0,Yes
609757,201018,900.0,Yes
610005,201018,1700.0,Yes
610045,201124,2600.0,Yes
610682,201234,1550.0,Yes
610757,201018,2650.0,Yes
610893,201018,2775.0,Yes
610909,201124,2775.0,Yes
611317,201018,2775.0,No
611567,201018,2775.0,Yes
611889,201018,1584.0,No
612023,201018,2775.0,Yes
612378,201128,1750.0,Yes
612622,201018,2775.0,Yes
613290,201018,2775.0,Yes
613394,201128,1550.0,No
614160,201018,950.0,Yes
614177,201018,2775.0,No
614233,201018,2700.0,Yes
614810,201018,2775.0,Yes
614860,201018,1700.0,Yes
615159,201018,2775.0,Yes
615351,201018,1900.0,Yes
615412,201018,2775.0,Yes
615474,201018,950.0,Yes
615631,201018,2775.0,Yes
615673,201018,2775.0,Yes
615761,201234,2775.0,No
