UID,TERM,LOAN,GRADUATED
588025,201018,3749.0,Yes
588106,201018,9250.0,Yes
588112,201018,12750.0,Yes
588173,201018,3750.0,Yes
537498,201018,8750.0,Yes
588223,201018,5250.0,Yes
588256,201018,8100.0,Yes
538137,201018,5000.0,Yes
588364,201128,8850.0,Yes
588401,201018,2000.0,Yes
588425,201018,3749.0,Yes
385536,201018,6750.0,Yes
588489,201018,14600.0,Yes
588500,201894,6250.0,Yes
588531,201128,1512.0,Yes
588529,201018,8750.0,Yes
588568,201018,5750.0,Yes
588570,201018,3250.0,Yes
588658,201124,6250.0,No
537181,201018,3750.0,Yes
588758,201018,8750.0,Yes
588840,201124,15250.0,No
588867,201018,11250.0,Yes
588874,201018,7500.0,Yes
588906,201018,6750.0,Yes
589119,201018,4250.0,Yes
589173,201018,3250.0,Yes
589260,201018,3250.0,Yes
589267,201018,6057.0,Yes
589327,201128,6750.0,Yes
589539,201018,4250.0,Yes
537436,201018,9750.0,Yes
589822,201018,5750.0,Yes
589877,201018,10125.0,Yes
589885,201018,3750.0,Yes
536528,201018,1847.0,Yes
590132,201018,4250.0,Yes
590168,201018,7249.0,No
590182,201018,8500.0,Yes
590242,201018,0.0,Yes
590257,201018,4250.0,Yes
590329,201124,3150.0,Yes
590366,201018,2750.0,Yes
590378,201018,2750.0,Yes
590384,201018,3750.0,Yes
590491,201018,2862.0,Yes
590520,201124,6750.0,Yes
590596,201018,10983.0,Yes
590600,201018,4250.0,Yes
590697,201018,11570.0,Yes
590775,201018,4250.0,Yes
590784,201018,13350.0,Yes
590874,201018,15250.0,Yes
590923,201018,3750.0,Yes
590948,201018,4250.0,Yes
590976,201018,13750.0,Yes
591122,201018,13001.0,Yes
591131,201018,3750.0,Yes
591135,201018,6750.0,No
591141,201018,7125.0,Yes
591144,201018,11750.0,Yes
386750,201018,8750.0,Yes
591208,201018,8500.0,Yes
591225,202234,10250.0,No
591283,201018,6250.0,Yes
381175,201018,11750.0,Yes
591499,201124,6251.0,Yes
591502,201018,11250.0,Yes
591647,201018,1750.0,Yes
591714,201018,8652.0,Yes
591735,201018,9947.0,Yes
591751,201018,13750.0,Yes
591765,201018,2250.0,Yes
591843,201018,3250.0,Yes
591868,201018,9750.0,Yes
591869,201018,10000.0,Yes
591943,201018,3750.0,Yes
592016,201018,6199.0,No
592051,201018,7500.0,Yes
592057,201018,3355.0,Yes
592149,201018,6750.0,Yes
592276,201018,7500.0,Yes
592350,201018,7500.0,Yes
592366,201018,1710.0,Yes
592445,201344,10420.0,No
592461,201018,4250.0,Yes
592473,201018,4250.0,Yes
592476,201018,8571.0,Yes
592475,201018,4250.0,Yes
592479,201018,10000.0,Yes
592596,201234,3250.0,Yes
592598,201018,5953.0,Yes
592642,201124,4250.0,Yes
592684,201124,2150.0,Yes
