UID,TERM,FGEN,GRADUATED
565356,201018,No,Yes
565372,201018,No,No
565392,201124,No,Yes
565399,201124,Yes,Yes
565434,201018,No,No
565444,201018,No,Yes
565588,201018,No,Yes
565653,201124,No,Yes
565660,201018,No,No
565664,201018,No,Yes
565729,201018,No,Yes
565743,201018,No,Yes
565759,201018,No,Yes
565812,201018,No,Yes
565860,201124,No,Yes
565918,201018,No,Yes
566052,201018,No,No
566058,201018,No,Yes
566117,201018,No,Yes
566121,201018,No,Yes
566125,201018,Yes,Yes
566154,201018,No,Yes
566172,201018,No,No
566213,201018,No,Yes
566243,201018,No,Yes
566257,201454,Yes,Yes
566291,201018,No,Yes
566300,201018,No,Yes
566332,201018,No,Yes
566465,201018,No,Yes
566687,201018,No,Yes
566690,201018,No,Yes
566705,201124,No,No
566855,201124,Yes,Yes
567128,201018,No,Yes
567136,201018,No,Yes
567145,201018,No,No
567312,201018,No,Yes
567502,201018,No,Yes
567829,201018,Yes,Yes
567884,201018,Yes,No
567890,201018,Yes,Yes
567954,201018,No,Yes
568006,201018,Yes,Yes
568009,201018,No,Yes
569041,201124,Yes,Yes
568048,201018,No,Yes
568110,201018,No,Yes
568121,201018,No,Yes
568128,201018,Yes,Yes
568293,201018,No,Yes
568324,201018,No,Yes
568349,201018,No,Yes
568356,201018,No,Yes
568363,201018,Yes,Yes
568371,201018,Yes,Yes
568395,201018,No,Yes
568430,201018,No,Yes
568431,201454,No,Yes
383185,201018,No,Yes
568573,201018,No,Yes
568614,201018,No,No
568838,201018,Yes,Yes
568880,201018,No,Yes
568891,201124,No,Yes
568911,201018,No,Yes
568938,201018,No,Yes
568941,201018,No,Yes
569038,201018,Yes,Yes
569129,201018,No,Yes
569173,201018,No,Yes
569312,201018,No,Yes
569394,201128,No,Yes
569409,201124,Yes,Yes
569470,202234,No,No
569553,201018,No,Yes
569560,201018,No,Yes
569561,201018,No,Yes
569612,201454,No,Yes
569637,201018,No,Yes
569682,201124,No,Yes
569896,201018,Yes,Yes
570148,201018,No,Yes
570225,201018,No,Yes
570433,201018,No,Yes
570616,201018,No,Yes
570664,201018,Yes,Yes
570755,201018,No,Yes
570772,201018,No,Yes
570873,201018,No,Yes
570970,201018,No,Yes
571078,201018,No,Yes
571094,201018,No,Yes
571157,201018,No,No
571198,201018,No,Yes
565775,201018,Yes,Yes
571206,201018,No,Yes
571233,201018,Yes,Yes
