UID,TERM,PLU_SCHOLARSHIP,GRADUATED
556925,201124,9511.0,Yes
556936,201018,7000.0,Yes
557025,201018,7000.0,Yes
557214,201124,3869.0,Yes
557239,201018,6499.0,Yes
557278,201018,3667.0,Yes
557313,201018,7000.0,Yes
557382,201018,5499.0,Yes
557612,201018,9000.0,Yes
557737,201674,0.0,Yes
557779,201124,8500.0,Yes
557792,201018,8639.0,Yes
557976,201018,5000.0,Yes
558157,201018,7457.0,Yes
558306,201018,4703.0,Yes
558311,201018,7000.0,Yes
558390,201124,4583.0,Yes
558716,201018,8000.0,Yes
558739,201124,5390.0,Yes
558968,201018,2134.0,Yes
559248,201018,7499.0,Yes
559253,201124,9000.0,Yes
559422,201018,9000.0,Yes
559490,201018,7000.0,Yes
559779,201018,9000.0,Yes
559943,201018,7500.0,Yes
559949,201018,7500.0,Yes
560121,201124,10224.0,Yes
560133,201018,5000.0,Yes
560533,201018,6000.0,Yes
560633,201018,2500.0,Yes
560634,201018,8500.0,Yes
560637,201124,6000.0,Yes
547413,201018,8000.0,Yes
560685,201018,14600.0,Yes
560692,201124,7458.0,No
560694,201018,8677.0,Yes
560795,201018,8500.0,No
560803,201018,4500.0,Yes
560837,201018,6500.0,Yes
560866,201124,9500.0,Yes
560869,201018,7750.0,Yes
560956,201018,6226.0,Yes
560979,201018,8000.0,Yes
561180,201458,7500.0,Yes
561181,201128,8500.0,Yes
561195,201018,5500.0,Yes
561293,201124,8084.0,Yes
561321,201018,9000.0,Yes
561365,201124,578.0,Yes
561367,201018,9137.0,Yes
561380,201124,7850.0,Yes
561443,201124,9000.0,Yes
561457,201018,7499.0,Yes
561467,201124,9500.0,Yes
561594,201018,8000.0,Yes
561612,201018,9500.0,Yes
561648,201018,9570.0,Yes
561864,201018,1000.0,Yes
561951,201568,0.0,No
562279,201018,8100.0,Yes
562666,201124,5479.0,No
562743,201018,0.0,Yes
562885,201018,8914.0,Yes
562903,201018,4000.0,Yes
563129,201018,9090.0,Yes
563165,201018,6000.0,Yes
563182,201018,7000.0,Yes
563249,201018,8000.0,Yes
563333,201018,7500.0,Yes
563503,201018,0.0,No
563504,201018,7500.0,Yes
563544,201124,9000.0,Yes
563627,201018,6669.0,Yes
563668,201018,9479.0,Yes
563834,201018,5150.0,Yes
563855,201018,10875.0,Yes
563856,201018,5000.0,Yes
563895,201018,8000.0,Yes
564011,201018,9000.0,Yes
564062,201018,5000.0,Yes
564162,201018,8500.0,Yes
564204,201018,9030.0,Yes
564236,202124,11274.0,No
564259,201018,500.0,Yes
564280,201018,11500.0,Yes
564355,201678,14334.0,Yes
564593,201018,4400.0,Yes
564720,201124,3250.0,Yes
564939,201344,7202.0,Yes
565162,201018,7937.0,Yes
565176,201018,7500.0,Yes
565183,201018,7500.0,Yes
565249,201018,6791.0,Yes
565324,201018,3000.0,Yes
565356,201018,3650.0,Yes
565372,201018,7000.0,No
565392,201124,6644.0,Yes
565399,201124,9000.0,Yes
565434,201018,3454.0,No
565444,201018,7500.0,Yes
565588,201018,7527.0,Yes
565653,201124,10001.0,Yes
565660,201018,8000.0,No
565664,201018,9500.0,Yes
565729,201018,9500.0,Yes
565743,201018,7000.0,Yes
565812,201018,8500.0,Yes
565860,201124,4573.0,Yes
565918,201018,5000.0,Yes
566052,201018,0.0,No
566058,201018,5000.0,Yes
566117,201018,5437.0,Yes
566121,201018,6000.0,Yes
566125,201018,7000.0,Yes
566154,201018,10000.0,Yes
566172,201018,4500.0,No
566213,201018,3500.0,Yes
566243,201018,500.0,Yes
566257,201454,9000.0,Yes
566291,201018,5500.0,Yes
566300,201018,5204.0,Yes
566332,201018,8724.0,Yes
566465,201018,8500.0,Yes
566687,201018,6500.0,Yes
566690,201018,9521.0,Yes
566855,201124,5740.0,Yes
567128,201018,8540.0,Yes
567136,201018,7000.0,Yes
567145,201018,6500.0,No
567312,201018,3000.0,Yes
567502,201018,8118.0,Yes
567829,201018,8500.0,Yes
567884,201018,8000.0,No
567890,201018,2535.0,Yes
567954,201018,3650.0,Yes
568006,201018,5000.0,Yes
568009,201018,7000.0,Yes
569041,201124,0.0,Yes
568048,201018,8499.5,Yes
568110,201018,8000.0,Yes
568121,201018,4783.6,Yes
568128,201018,4628.0,Yes
568293,201018,10000.0,Yes
568324,201018,7230.0,Yes
568349,201018,3650.0,Yes
568356,201018,3650.0,Yes
568363,201018,7929.0,Yes
568371,201018,6566.0,Yes
568395,201018,4117.0,Yes
568430,201018,7829.0,Yes
568431,201454,11336.0,Yes
383185,201018,11000.0,Yes
568573,201018,7500.0,Yes
568614,201018,8600.0,No
568838,201018,5000.0,Yes
568880,201018,8089.0,Yes
568891,201124,6500.0,Yes
568911,201018,9235.0,Yes
568938,201018,7000.0,Yes
568941,201018,7500.0,Yes
569038,201018,7000.0,Yes
569129,201018,7500.0,Yes
569173,201018,8500.0,Yes
569312,201018,4000.0,Yes
569394,201128,7500.0,Yes
569409,201124,4500.0,Yes
569553,201018,7500.0,Yes
569560,201018,6000.0,Yes
569561,201018,7500.0,Yes
569637,201018,9012.0,Yes
569682,201124,5000.0,Yes
569896,201018,8676.0,Yes
570148,201018,14600.0,Yes
570225,201018,9000.0,Yes
570433,201018,7500.0,Yes
570616,201018,9000.0,Yes
570664,201018,7000.0,Yes
570755,201018,7500.0,Yes
570772,201018,6500.0,Yes
570873,201018,5177.0,Yes
570970,201018,7499.0,Yes
571078,201018,8500.0,Yes
571094,201018,8524.0,Yes
571157,201018,7500.0,No
571198,201018,10000.0,Yes
565775,201018,6304.0,Yes
571206,201018,5000.0,Yes
571233,201018,8000.0,Yes
571243,201018,6000.0,Yes
571598,201018,8776.0,Yes
571602,201124,4000.0,Yes
571629,201018,8000.0,Yes
571657,201018,8999.0,Yes
571660,201018,7000.0,Yes
571671,201018,8694.0,Yes
571741,201018,7000.0,Yes
571776,201018,9689.0,Yes
571863,201018,7500.0,No
571871,201018,9350.0,Yes
572064,201018,6246.0,Yes
572167,201018,6000.0,Yes
572326,201018,6000.0,Yes
572393,201018,7624.0,Yes
572424,201018,8000.0,Yes
572523,201018,0.0,No
572531,201018,14600.0,Yes
572667,201018,7000.0,Yes
572755,201018,8000.0,Yes
572790,201018,8000.0,Yes
572885,201018,6000.0,Yes
572921,201018,5329.0,Yes
572958,201018,9857.0,Yes
572972,201018,7395.0,Yes
573165,201018,6500.0,Yes
573549,201018,6969.0,Yes
573563,201018,9000.0,Yes
573649,201124,7606.0,Yes
573680,201018,3000.0,Yes
573683,201018,9000.0,Yes
573834,201018,4617.0,Yes
573969,201018,6999.0,Yes
573981,201124,9817.0,Yes
574074,201124,6721.0,Yes
574155,201018,7500.0,Yes
574401,201018,8794.0,Yes
574468,201018,7500.0,Yes
574592,201018,7000.0,Yes
574602,201018,7000.0,Yes
574711,201018,4999.0,Yes
574719,201018,8000.0,Yes
574818,201018,5000.0,Yes
386498,201018,7000.0,Yes
574975,201018,8890.0,Yes
575006,201018,5499.0,Yes
575007,201018,5278.0,Yes
575026,201018,8092.0,Yes
575052,201124,10500.0,Yes
384555,201018,6680.0,Yes
575188,201018,6750.0,Yes
575211,201018,6000.0,Yes
575219,201018,6500.0,Yes
575222,201018,5000.0,No
575231,201018,7500.0,Yes
575242,201018,0.0,Yes
575250,201018,7000.0,Yes
575254,201018,9250.0,Yes
575269,201018,9619.0,Yes
575363,201018,7500.0,Yes
575496,201018,0.0,Yes
575615,201018,1500.0,Yes
385168,201018,8500.0,Yes
575660,201018,8768.0,Yes
575728,201018,8127.5,Yes
575760,201018,9366.0,Yes
575790,201018,7500.0,Yes
575845,201018,6000.0,Yes
575850,201018,1000.0,Yes
575856,202124,11735.0,No
575939,201018,7500.0,Yes
575947,201018,7000.0,Yes
575958,201018,7631.0,Yes
575960,201018,6211.0,Yes
576219,201018,7000.0,Yes
576261,201018,3500.0,Yes
576299,201018,2058.0,Yes
576304,201018,8000.0,Yes
576319,201018,9598.0,Yes
576329,201018,8500.0,Yes
576334,201018,1344.0,No
576367,201018,7500.0,Yes
576404,201018,8845.0,Yes
576464,201124,9723.0,Yes
368403,201018,9500.0,Yes
576468,201018,8500.0,Yes
383618,201018,7291.0,Yes
576516,201018,8872.0,No
576517,201018,4615.0,Yes
345959,201018,5483.0,Yes
576530,201018,6986.0,Yes
576598,201018,2368.0,Yes
576615,201018,7993.0,Yes
576629,201018,9315.0,Yes
576642,201018,7505.0,Yes
576663,201018,5000.0,No
576664,201234,7500.0,Yes
576668,201018,500.0,Yes
576672,201124,8500.0,Yes
576678,201018,0.0,Yes
576680,201018,7499.0,Yes
576698,201018,0.0,Yes
576713,201018,8207.0,Yes
576825,201018,5000.0,Yes
576826,201018,7500.0,Yes
576884,201018,8000.0,Yes
576898,201018,8000.0,Yes
576909,201018,7000.0,Yes
576915,201018,2000.0,Yes
576941,201018,7106.0,Yes
576944,201018,5000.0,Yes
576995,201018,6000.0,Yes
577078,201018,6500.0,Yes
577083,201018,9500.0,Yes
577087,201124,6000.0,Yes
577110,201018,9999.0,Yes
577112,201018,8000.0,Yes
577129,201018,8000.0,Yes
577141,201018,6555.0,Yes
577189,201018,9000.0,Yes
577199,201018,3000.0,Yes
577235,201018,8905.0,Yes
577236,201018,9150.0,Yes
577249,201018,7100.0,Yes
577289,201018,8000.0,Yes
577342,201018,14600.0,Yes
577367,201018,8000.0,Yes
577368,201018,8500.0,Yes
577385,201018,8000.0,Yes
577392,201018,9000.0,Yes
577404,201128,5500.0,Yes
577436,201018,6000.0,Yes
577465,201018,5212.0,Yes
577499,201124,500.0,Yes
577563,201124,6558.0,Yes
577606,201018,7500.0,Yes
577620,201018,7000.0,Yes
577622,201018,8000.0,Yes
577626,201018,5000.0,Yes
577638,201128,9500.0,Yes
577646,201018,5500.0,Yes
577680,201124,6500.0,Yes
577728,202344,6184.0,No
577786,201018,6000.0,Yes
577794,201018,6208.0,Yes
577795,201018,6750.0,Yes
577811,201018,5346.0,Yes
577824,201018,6500.0,Yes
301407,201018,3650.0,Yes
578036,201018,6000.0,Yes
578037,201018,7750.0,Yes
578048,201018,9483.0,Yes
578228,201018,8499.0,Yes
578286,201018,8000.0,Yes
578325,201124,9880.0,Yes
578327,201018,8000.0,Yes
578351,201018,10756.0,Yes
578399,201018,14600.0,Yes
578685,201018,8499.0,Yes
578711,201018,9095.0,Yes
578740,201018,7000.0,Yes
387672,201018,0.0,No
578858,201018,10500.0,Yes
578879,201018,3000.0,Yes
578898,201234,7000.0,Yes
578899,201018,6000.0,Yes
578904,201018,9568.0,Yes
578937,201018,6500.0,Yes
579002,201018,6000.0,Yes
579039,201018,10032.0,Yes
579068,201018,704.0,No
544681,201018,0.0,Yes
579267,201018,4628.0,No
579313,201124,2500.0,No
579384,201124,8865.0,No
579411,201018,6142.0,Yes
579430,201018,8000.0,Yes
579483,201018,6838.0,Yes
579543,201018,6156.0,Yes
579569,201018,3000.0,Yes
579657,201018,6500.0,Yes
579697,201018,6370.0,Yes
579723,201018,8000.0,Yes
579725,201018,6500.0,Yes
579852,201018,8000.0,Yes
579921,201018,6333.0,Yes
579973,201018,8263.0,Yes
580047,201018,8251.0,Yes
580114,201018,7500.0,Yes
580125,201018,9000.0,Yes
580128,201018,9618.0,Yes
580159,201018,5000.0,Yes
580178,201018,10000.0,Yes
580267,201018,6000.0,Yes
580271,201018,3650.0,Yes
580353,201018,5000.0,Yes
580377,201124,15476.0,Yes
580407,201018,7850.0,Yes
580541,201018,7198.0,Yes
580558,201018,8250.0,Yes
580678,201018,3354.0,No
580745,201018,0.0,Yes
580890,201018,6000.0,Yes
581041,201018,500.0,Yes
581049,201128,0.0,Yes
581128,201018,8000.0,Yes
581171,201018,8000.0,Yes
581255,201018,4500.0,Yes
581313,201018,9818.0,Yes
581329,201018,6500.0,Yes
581383,201234,8076.0,Yes
581552,201018,9000.0,Yes
581553,201018,14600.0,Yes
581732,201018,5000.0,Yes
581903,201018,7696.0,Yes
581960,201124,4454.0,Yes
581964,201018,6999.0,Yes
581968,201018,9000.0,Yes
582013,201018,6750.0,Yes
582153,201124,9420.0,Yes
582240,201018,6500.0,Yes
582254,201018,10500.0,Yes
582274,201018,6000.0,Yes
582279,201018,0.0,Yes
582353,201018,5000.0,Yes
582402,201018,7500.0,Yes
582413,201018,1000.0,Yes
582471,201018,4410.0,Yes
582484,201018,500.0,Yes
582519,201018,7000.0,Yes
582558,201018,15098.0,Yes
582743,201018,4958.0,Yes
582779,201018,0.0,No
582809,201018,6500.0,Yes
582839,201018,3702.0,Yes
582869,201018,8000.0,No
582902,201018,12385.0,Yes
582919,201124,5500.0,No
384328,201018,5750.0,Yes
583002,201454,14000.0,Yes
583054,201018,8500.0,No
583156,201018,932.0,Yes
583160,201018,8185.0,Yes
583166,201018,8000.0,Yes
583177,201238,7348.0,Yes
583179,201018,6232.0,Yes
583189,201018,8000.0,Yes
583217,201018,11213.0,Yes
583275,201018,7064.0,Yes
583309,201018,7832.0,Yes
583332,201018,7000.0,Yes
583351,201018,7129.0,Yes
583387,201018,7950.0,Yes
583399,201458,8500.0,Yes
583402,201018,8500.0,No
583419,201018,8000.0,Yes
583482,201018,1500.0,Yes
583694,201018,5250.0,Yes
583748,201018,3650.0,Yes
583847,201018,9735.0,Yes
583848,201344,14196.0,Yes
583849,201674,16162.0,Yes
583870,201234,9984.0,Yes
583881,201238,10500.0,Yes
583908,201234,11411.0,No
583961,201018,2629.0,Yes
583972,201018,6500.0,Yes
524083,201018,5000.0,Yes
584019,201018,0.0,No
584032,201018,16471.0,Yes
584113,201018,9365.0,Yes
584270,201018,8019.0,Yes
584271,201018,1500.0,Yes
584274,201018,6087.0,Yes
584278,201018,7957.0,Yes
584301,201128,7231.0,Yes
584320,201018,8000.0,Yes
584398,201018,5000.0,Yes
584403,201018,5425.0,Yes
584418,201018,1704.0,Yes
584514,201018,5567.0,Yes
584589,201018,3469.0,Yes
584683,201018,7239.0,Yes
584709,201018,0.0,No
584894,201018,4732.0,Yes
584949,201018,4628.0,Yes
584994,201018,7662.0,Yes
585002,201344,7000.0,No
585010,201018,7000.0,Yes
585017,201018,7500.0,Yes
585025,201018,8134.0,Yes
585058,201018,6500.0,Yes
585102,201124,9105.0,Yes
585105,201018,7803.0,Yes
585142,201018,6000.0,No
585144,201018,500.0,Yes
585172,201018,9722.0,Yes
585191,201124,7500.0,Yes
585198,201018,8999.0,Yes
585213,201018,6000.0,Yes
585235,201454,7500.0,Yes
585239,201018,5222.0,Yes
585340,201018,3653.0,Yes
585396,201018,6216.0,Yes
585418,201018,5000.0,Yes
585660,201018,6000.0,Yes
585715,201018,8000.0,Yes
585726,201018,8000.0,Yes
585759,201018,6293.0,Yes
585818,201018,6500.0,Yes
585827,201018,6999.0,Yes
585870,201018,1314.0,No
388013,201018,9000.0,Yes
585917,201018,7217.0,Yes
585928,201018,7500.0,Yes
585969,201128,5500.0,Yes
586108,201018,7000.0,Yes
586224,201018,4628.0,Yes
586242,201018,8977.0,Yes
586303,201018,6000.0,Yes
586357,201018,8628.0,Yes
586368,201018,7807.0,Yes
586439,201018,10500.0,Yes
586441,201018,7500.0,Yes
586449,202344,18353.0,No
586515,201018,10650.0,Yes
586648,201018,5000.0,Yes
586664,201018,7000.0,Yes
586756,201018,8000.0,Yes
586784,201018,10000.0,Yes
586916,201018,8000.0,Yes
586917,201018,1349.0,Yes
586922,201018,8999.0,Yes
586946,201018,8000.0,Yes
587045,201018,8563.0,Yes
587054,201018,5661.0,Yes
587171,201018,6479.0,Yes
587196,201018,1349.0,Yes
587246,201018,7000.0,Yes
587269,201018,5000.0,Yes
587271,201018,633.0,Yes
587275,201018,6000.0,Yes
587276,201018,5000.0,Yes
587347,201018,7030.0,Yes
587358,201018,6412.0,Yes
587359,201018,7300.0,Yes
587390,201018,5000.0,Yes
587419,201018,9805.0,Yes
587473,201018,6804.0,Yes
587502,201018,4628.0,Yes
587576,201018,0.0,No
587606,201018,9000.0,Yes
539806,201018,8000.0,Yes
587732,201018,12628.0,Yes
587734,201018,10680.0,Yes
587841,201018,4999.0,Yes
587859,201018,8940.0,Yes
587874,201018,6977.0,Yes
587891,201018,0.0,Yes
587980,201018,6898.0,Yes
588004,201018,9000.0,Yes
588025,201018,6500.0,Yes
588106,201018,6500.0,Yes
588112,201018,5000.0,Yes
588122,201018,3650.0,Yes
