UID,TERM,NON_PLU_SCHOLARSHIP,GRADUATED
585213,201018,6158.0,Yes
585396,201018,1850.0,Yes
585660,201018,6608.0,Yes
585759,201018,4221.0,Yes
586108,201018,6733.0,Yes
586242,201018,5200.0,Yes
586362,201018,7058.0,Yes
586449,202344,2773.0,No
586917,201018,7108.0,Yes
587171,201018,3250.0,Yes
587196,201018,7133.0,Yes
587271,201018,6908.0,Yes
587358,201018,500.0,Yes
587473,201018,500.0,Yes
587576,201018,3670.33,No
587841,201018,6734.0,Yes
587874,201018,500.0,Yes
588223,201018,5888.0,Yes
588364,201128,4114.0,Yes
588410,201018,3866.0,Yes
588500,201894,3423.0,Yes
588531,201128,7133.0,Yes
588568,201018,5838.0,Yes
588570,201018,500.0,Yes
537181,201018,6658.0,Yes
588758,201018,5076.0,Yes
588874,201018,6676.0,Yes
588906,201018,3275.0,Yes
589173,201018,3275.0,Yes
589260,201018,6213.0,Yes
589267,201018,4969.0,Yes
589539,201018,4171.0,Yes
589822,201018,500.0,Yes
589877,201018,500.0,Yes
590242,201018,6733.0,Yes
590257,201018,6213.0,Yes
590288,201018,4780.0,Yes
590329,201124,6320.0,Yes
590366,201018,3275.0,Yes
590491,201018,2776.0,Yes
590520,201124,7109.0,Yes
590600,201018,6413.0,Yes
590697,201018,7133.0,Yes
590775,201018,1450.0,Yes
590923,201018,6733.0,Yes
591131,201018,1650.0,Yes
386750,201018,6213.0,Yes
591208,201018,500.0,Yes
381175,201018,4686.0,Yes
591714,201018,3100.0,Yes
591869,201018,500.0,Yes
592051,201018,500.0,Yes
592057,201018,2800.0,Yes
592149,201018,500.0,Yes
592194,201018,2272.0,Yes
592350,201018,1350.0,Yes
592366,201018,2000.0,Yes
592384,201018,5687.0,Yes
592449,201018,4572.0,Yes
592461,201018,4758.0,Yes
592476,201018,5128.0,Yes
592475,201018,3126.0,Yes
592573,201124,2550.0,Yes
592596,201234,1550.0,Yes
592598,201018,5408.0,Yes
592704,201018,500.0,Yes
376308,201018,6459.0,Yes
592827,201564,3756.0,No
592935,201124,378.0,Yes
592938,201124,6113.0,Yes
592944,201018,6733.0,Yes
592990,201018,500.0,Yes
592996,202344,4173.0,No
592998,201018,4640.0,Yes
593036,201018,6213.0,Yes
593093,201018,5288.0,Yes
593239,201124,778.0,Yes
593309,201454,7499.0,Yes
593336,201018,6508.0,No
593925,201018,3864.0,Yes
594048,201018,4474.0,Yes
594097,201018,3169.0,Yes
594200,201018,7133.0,No
594431,201018,3275.0,No
594497,201124,1500.0,Yes
594622,201124,3250.0,No
594787,201018,500.0,Yes
594869,201018,2971.0,Yes
595021,201018,4998.0,Yes
595236,201124,2964.0,Yes
595650,201018,5944.0,Yes
595845,201564,4954.0,No
595939,201018,0.0,No
596055,201018,4168.0,Yes
596378,201018,3723.0,Yes
596612,201124,950.0,Yes
597085,201018,500.0,Yes
597284,201018,1550.0,Yes
597372,201018,1988.0,Yes
597655,201018,6112.0,Yes
597857,201124,2875.0,Yes
598133,201234,7534.0,Yes
598320,201018,3000.0,Yes
598339,201018,500.0,Yes
598387,201018,6608.0,Yes
598390,201018,4969.0,Yes
598547,201018,7383.0,No
254884,201348,500.0,Yes
598788,201018,3091.0,Yes
598861,201904,3107.0,Yes
301391,201124,4793.0,No
599063,201018,5434.0,No
599087,201018,3172.0,No
599124,201564,2263.0,Yes
533328,201018,5758.0,Yes
599267,201018,3275.0,Yes
599288,201124,5744.0,Yes
599460,201018,500.0,Yes
599476,201018,3866.0,Yes
599563,201018,1950.0,Yes
599768,201018,5571.0,Yes
600003,202124,1701.64,No
600082,201018,688.0,No
600129,201018,6425.0,Yes
600341,201018,8113.0,Yes
600343,201124,3275.0,Yes
600656,201124,6707.0,Yes
601098,201018,2700.0,No
601135,201018,2776.0,Yes
601209,201124,1350.0,Yes
601482,201018,4146.0,Yes
601627,201018,500.0,Yes
601795,201018,8213.0,Yes
602067,201018,1450.0,Yes
602860,201018,2150.0,Yes
603165,201018,3822.0,Yes
603232,201128,500.0,Yes
603382,201018,1150.0,Yes
603412,201018,3275.0,Yes
603471,201018,1750.0,Yes
603574,201344,7157.0,Yes
604190,201018,4172.0,Yes
604216,201018,2875.0,No
604309,201018,3175.0,Yes
604397,201018,3275.0,Yes
604428,201018,1150.0,Yes
604560,201018,6058.0,Yes
604597,201124,6213.0,Yes
604651,201018,3250.0,Yes
605135,201018,6158.0,Yes
606045,201018,6213.0,Yes
606118,201018,2376.0,Yes
606150,201018,500.0,Yes
606300,201018,6213.0,Yes
606312,201124,4169.0,Yes
