UID,TERM,WORK_STUDY,GRADUATED
602227,201124,1750.0,Yes
602669,201124,1977.0,Yes
602860,201018,0.0,Yes
603165,201018,1750.0,Yes
603232,201128,1750.0,Yes
603287,201018,1750.0,Yes
603376,201018,1750.0,Yes
603382,201018,4301.0,Yes
603412,201018,1750.0,Yes
603471,201018,1238.0,Yes
603563,201018,1750.0,Yes
603574,201344,1800.0,Yes
603821,201018,2750.0,Yes
603867,201018,1750.0,No
604190,201018,1966.0,Yes
604216,201018,1750.0,No
604309,201018,1750.0,Yes
604315,201018,1627.0,Yes
604397,201018,1750.0,Yes
604428,201018,1750.0,Yes
604543,201128,1750.0,No
604597,201124,1750.0,Yes
604651,201018,2500.0,Yes
604655,201124,257.0,Yes
604671,201018,1750.0,Yes
604842,201018,1750.0,Yes
604956,201018,1750.0,Yes
604972,201128,1750.0,Yes
605135,201018,2693.0,Yes
605498,201018,1417.0,Yes
605713,201018,1000.0,Yes
605726,201018,1136.0,Yes
605948,201018,1750.0,Yes
606045,201018,1750.0,Yes
606077,201018,1750.0,Yes
606118,201018,1750.0,Yes
606149,201018,1750.0,Yes
606201,201018,1750.0,Yes
606300,201018,3550.0,Yes
606312,201124,1750.0,Yes
606320,201018,1750.0,Yes
606412,201124,1750.0,Yes
606426,201018,1000.0,No
606435,201018,1750.0,Yes
606591,201018,1750.0,Yes
606666,201018,1739.0,No
606676,201018,5550.0,Yes
606833,201018,1750.0,Yes
606841,201018,678.0,Yes
606862,201018,1750.0,Yes
607012,201018,1750.0,Yes
607491,201124,1750.0,Yes
608008,201018,3750.0,Yes
608249,201018,1750.0,No
608284,201018,1233.0,Yes
608491,201018,2000.0,Yes
608814,201124,1750.0,Yes
608883,201018,574.0,Yes
609133,201018,1500.0,Yes
609475,201018,0.0,Yes
609526,201018,1750.0,Yes
609688,201124,1750.0,Yes
609690,201018,1750.0,Yes
610148,201018,1750.0,Yes
610740,201018,1236.0,Yes
610909,201124,1750.0,Yes
610977,201018,2000.0,Yes
611474,201018,1750.0,Yes
611730,201018,3000.0,Yes
611889,201018,1995.0,No
612023,201018,3500.0,Yes
612622,201018,1750.0,Yes
612968,201018,1626.0,Yes
613290,201018,347.0,Yes
613506,201124,1750.0,Yes
614160,201018,1750.0,Yes
614177,201018,1750.0,No
614233,201018,3500.0,Yes
614250,201018,2162.0,Yes
614270,201018,3550.0,Yes
614388,201018,4500.0,Yes
614860,201018,1750.0,Yes
614879,201018,3375.0,Yes
614973,201018,1000.0,No
615159,201018,3812.0,Yes
615174,201128,1750.0,Yes
615351,201018,1750.0,Yes
615412,201018,968.0,Yes
615673,201018,2150.0,Yes
616003,201018,2750.0,Yes
616021,201018,1750.0,Yes
616201,201018,1750.0,Yes
616358,201018,3900.0,Yes
616425,201018,1750.0,No
616464,201018,1750.0,Yes
616498,201018,3587.0,Yes
616619,201018,1750.0,Yes
616646,201018,0.0,Yes
616785,201018,1658.0,Yes
616843,201344,1900.0,Yes
616848,201018,2583.0,Yes
617007,201018,2295.0,Yes
617018,201018,937.0,Yes
617083,201128,2500.0,Yes
617122,201234,1176.0,Yes
617304,201124,1648.0,No
617764,201018,2865.0,Yes
617481,201018,1750.0,Yes
617667,201018,1750.0,Yes
617673,201018,1750.0,Yes
617835,201124,1850.0,Yes
617966,201018,4450.0,Yes
618069,201018,1750.0,Yes
618075,201018,1750.0,Yes
618237,201018,1222.0,Yes
618296,201018,1750.0,Yes
618351,201018,1900.0,Yes
618421,201018,1750.0,Yes
618441,202344,1250.0,No
618488,201018,1750.0,Yes
618676,201018,1750.0,Yes
618936,201018,1750.0,Yes
618971,201018,1939.0,Yes
619021,201018,3056.0,Yes
619106,201124,149.0,Yes
619151,201018,992.0,Yes
619251,201018,1750.0,Yes
619462,201018,1705.0,Yes
619584,201018,1750.0,Yes
619593,201018,2554.0,Yes
386352,201018,975.0,Yes
619766,201018,1750.0,Yes
619783,201018,1815.0,Yes
619793,201124,1750.0,Yes
619811,201018,1750.0,Yes
620501,201018,437.0,No
620606,201018,684.0,Yes
620685,201018,1750.0,Yes
620710,201018,1750.0,Yes
620772,201234,1900.0,Yes
620786,201018,1750.0,No
620810,201124,1750.0,Yes
620812,201018,1900.0,Yes
620904,201018,3500.0,Yes
616454,201018,1750.0,Yes
621087,201018,1750.0,Yes
621120,201018,1939.0,No
621216,201124,2731.0,Yes
621292,201018,1750.0,Yes
621396,201018,2206.0,Yes
621409,201124,0.0,Yes
621421,201124,0.0,Yes
621432,201124,1750.0,Yes
621476,201018,1750.0,Yes
621536,201018,945.0,Yes
621554,201124,1750.0,No
621612,201018,3360.0,Yes
621964,201018,1750.0,Yes
622029,201018,1500.0,Yes
622197,201018,1750.0,No
622235,201124,1750.0,Yes
622294,201018,1750.0,Yes
622312,201234,1900.0,No
622366,201124,3000.0,Yes
622438,201018,1750.0,Yes
622474,201018,984.0,Yes
622560,201018,810.0,Yes
622524,201018,359.0,No
622697,201018,3588.5,Yes
622751,201018,1750.0,No
622790,201234,1900.0,Yes
622792,201018,1750.0,Yes
524704,201018,2043.0,Yes
622894,201018,365.0,Yes
623096,201018,418.0,Yes
623194,201018,1750.0,Yes
623554,201018,664.0,Yes
623869,201018,3125.0,Yes
623939,201124,1750.0,No
624042,201018,1750.0,Yes
624257,201124,1750.0,Yes
624286,201018,1750.0,Yes
624291,201018,2000.0,Yes
624337,201128,1750.0,Yes
624426,201018,1750.0,Yes
624442,201124,1750.0,Yes
624450,201234,1554.0,Yes
624489,201124,1750.0,No
624554,201018,950.0,Yes
624656,201018,2287.0,Yes
624861,201018,3802.0,Yes
624979,201018,2364.0,Yes
624985,201124,1750.0,Yes
625006,201018,1750.0,Yes
625134,201018,1750.0,Yes
625346,201234,1900.0,Yes
625362,201018,1750.0,No
625467,201018,1328.0,Yes
625469,201018,1750.0,Yes
625471,201018,1750.0,Yes
625472,201018,2194.0,Yes
625487,201018,989.0,Yes
625665,201018,2250.0,Yes
625691,201234,1800.0,Yes
625692,201458,1900.0,No
625713,201018,0.0,Yes
625723,201018,1750.0,Yes
625812,201124,1750.0,No
625831,201128,664.0,Yes
625835,201018,1750.0,Yes
625933,201018,3500.0,Yes
625964,201124,678.0,Yes
626002,201018,2000.0,Yes
626252,201124,1750.0,Yes
626254,201234,1800.0,No
626323,201018,2089.0,Yes
626343,201124,1750.0,No
626420,201018,799.0,No
626446,201018,1717.0,Yes
626479,201018,1250.0,Yes
626523,201018,1750.0,No
626539,201018,2616.0,Yes
626630,201018,1750.0,Yes
626635,201234,1900.0,Yes
626636,201018,1750.0,Yes
626641,201018,3250.0,Yes
626871,201018,803.0,Yes
626893,201018,1684.0,Yes
626969,201018,999.0,Yes
627083,201124,300.0,Yes
627084,201124,1492.0,Yes
627094,201124,1750.0,No
627242,201018,3000.0,Yes
627247,201018,1750.0,Yes
627309,201124,3550.0,Yes
627499,201124,1750.0,Yes
627506,201018,1750.0,Yes
627588,201018,0.0,Yes
627597,201018,3000.0,Yes
627694,201018,1750.0,Yes
627753,201018,1750.0,Yes
627912,201018,3500.0,No
628015,201018,2100.0,Yes
628086,201018,1750.0,Yes
628323,201018,1750.0,Yes
628351,201018,1750.0,Yes
628504,201124,1750.0,Yes
628622,201018,1750.0,Yes
628637,201124,1296.0,Yes
628692,201018,1750.0,Yes
628777,201018,1750.0,Yes
628861,201128,1450.0,Yes
628897,201124,1670.0,Yes
628899,201234,1444.0,No
629042,201018,3000.0,Yes
629361,201018,1808.0,Yes
629374,201458,1900.0,Yes
629495,201018,3535.0,Yes
629678,201018,1750.0,Yes
629680,201128,1750.0,Yes
629695,201018,1750.0,No
629867,201018,1498.0,Yes
629936,201018,1931.0,Yes
629949,201018,1750.0,No
629950,201348,1800.0,Yes
629976,201234,1800.0,Yes
630100,201018,1750.0,Yes
630128,201018,1750.0,No
630206,201018,1750.0,Yes
630318,201018,2200.0,Yes
630630,201018,668.0,Yes
630637,201018,1473.0,Yes
630803,201124,1087.0,Yes
630804,201124,1750.0,Yes
630810,201018,4169.0,Yes
630930,201018,1750.0,Yes
631001,201018,1750.0,No
631309,201018,2000.0,Yes
631312,201124,3050.0,Yes
631345,201124,1750.0,Yes
631493,201018,1750.0,Yes
631562,201018,1750.0,Yes
631583,201018,1140.0,Yes
631606,201124,1750.0,Yes
631646,201124,1352.0,Yes
631827,201018,1750.0,Yes
631945,201018,1021.0,No
632104,201018,1750.0,Yes
632119,201124,1594.0,Yes
632125,201234,1800.0,Yes
632132,201018,253.0,Yes
632177,201018,1750.0,Yes
632232,201018,1750.0,Yes
632260,201128,1750.0,Yes
632267,201018,3500.0,Yes
632308,201454,1800.0,Yes
632323,201238,1316.0,Yes
632464,201124,1750.0,Yes
632465,201454,1800.0,Yes
632742,201128,1750.0,Yes
632807,201018,1450.0,Yes
633068,201018,1750.0,No
633128,201018,1750.0,Yes
633396,201018,1750.0,Yes
633437,201018,1750.0,Yes
633491,201018,1750.0,Yes
633531,201018,1750.0,Yes
289997,201018,1750.0,Yes
633664,201238,484.0,Yes
633672,201018,563.0,Yes
633675,201018,2582.0,Yes
633681,201018,2992.0,Yes
633796,201018,3886.0,Yes
